ImageId,Label
1,2
2,0
3,8
4,2
5,4
6,2
7,0
8,9
9,0
10,9
11,5
12,7
13,3
14,0
15,3
16,9
17,7
18,1
19,3
20,0
21,3
22,7
23,1
24,5
25,3
26,8
27,2
28,3
29,8
30,8
31,7
32,5
33,3
34,4
35,6
36,2
37,8
38,5
39,3
40,6
41,8
42,3
43,2
44,8
45,8
46,3
47,9
48,4
49,6
50,7
51,6
52,8
53,9
54,3
55,8
56,6
57,7
58,2
59,2
60,0
61,8
62,4
63,8
64,0
65,0
66,0
67,1
68,8
69,0
70,7
71,6
72,5
73,8
74,8
75,2
76,8
77,8
78,3
79,6
80,9
81,5
82,8
83,1
84,0
85,8
86,4
87,2
88,3
89,2
90,3
91,4
92,0
93,6
94,6
95,4
96,4
97,3
98,8
99,3
100,3
101,0
102,9
103,9
104,0
105,2
106,3
107,0
108,5
109,6
110,8
111,0
112,0
113,6
114,7
115,1
116,7
117,4
118,4
119,3
120,9
121,9
122,3
123,2
124,9
125,6
126,3
127,3
128,7
129,2
130,8
131,3
132,5
133,6
134,0
135,0
136,0
137,9
138,7
139,5
140,6
141,6
142,7
143,2
144,5
145,5
146,8
147,3
148,3
149,9
150,8
151,4
152,7
153,5
154,4
155,5
156,3
157,3
158,3
159,3
160,8
161,9
162,0
163,6
164,5
165,1
166,9
167,7
168,6
169,3
170,0
171,2
172,5
173,3
174,6
175,1
176,9
177,8
178,5
179,1
180,2
181,2
182,9
183,9
184,2
185,2
186,3
187,6
188,7
189,6
190,0
191,6
192,4
193,2
194,8
195,6
196,0
197,8
198,3
199,6
200,8
201,1
202,8
203,0
204,9
205,8
206,0
207,8
208,2
209,6
210,2
211,0
212,3
213,3
214,6
215,8
216,2
217,1
218,6
219,8
220,2
221,2
222,3
223,1
224,2
225,2
226,0
227,8
228,6
229,4
230,0
231,0
232,6
233,3
234,7
235,7
236,4
237,2
238,9
239,8
240,6
241,9
242,6
243,4
244,9
245,8
246,5
247,6
248,8
249,9
250,6
251,5
252,3
253,1
254,3
255,8
256,2
257,5
258,7
259,8
260,7
261,6
262,9
263,3
264,5
265,2
266,0
267,6
268,8
269,4
270,4
271,6
272,0
273,6
274,3
275,8
276,5
277,7
278,5
279,8
280,2
281,0
282,2
283,2
284,0
285,5
286,3
287,3
288,4
289,8
290,8
291,8
292,3
293,7
294,8
295,8
296,6
297,9
298,0
299,9
300,9
301,6
302,8
303,8
304,4
305,6
306,7
307,3
308,4
309,8
310,9
311,8
312,6
313,8
314,0
315,0
316,3
317,8
318,8
319,1
320,9
321,8
322,4
323,7
324,3
325,8
326,8
327,5
328,7
329,5
330,3
331,6
332,3
333,7
334,9
335,0
336,8
337,0
338,0
339,6
340,5
341,6
342,3
343,7
344,8
345,4
346,0
347,4
348,5
349,2
350,9
351,6
352,3
353,3
354,9
355,5
356,8
357,3
358,8
359,2
360,7
361,3
362,6
363,7
364,8
365,8
366,2
367,7
368,8
369,1
370,6
371,8
372,5
373,3
374,3
375,3
376,2
377,8
378,5
379,9
380,7
381,6
382,5
383,5
384,6
385,6
386,6
387,9
388,1
389,3
390,5
391,1
392,2
393,5
394,8
395,2
396,7
397,7
398,7
399,2
400,5
401,3
402,3
403,6
404,7
405,1
406,7
407,2
408,7
409,5
410,5
411,7
412,0
413,8
414,4
415,2
416,8
417,1
418,7
419,7
420,5
421,3
422,4
423,6
424,5
425,7
426,7
427,8
428,3
429,3
430,2
431,3
432,8
433,5
434,9
435,6
436,1
437,9
438,8
439,5
440,0
441,8
442,8
443,3
444,8
445,6
446,2
447,1
448,5
449,4
450,8
451,5
452,3
453,6
454,8
455,5
456,8
457,7
458,3
459,5
460,9
461,4
462,3
463,5
464,0
465,5
466,7
467,3
468,3
469,3
470,1
471,7
472,2
473,8
474,5
475,6
476,0
477,7
478,7
479,7
480,0
481,3
482,8
483,9
484,4
485,8
486,8
487,3
488,8
489,9
490,2
491,0
492,8
493,9
494,2
495,6
496,5
497,5
498,3
499,4
500,0
501,6
502,5
503,8
504,2
505,4
506,8
507,7
508,9
509,6
510,6
511,3
512,5
513,8
514,3
515,5
516,3
517,5
518,2
519,2
520,2
521,6
522,3
523,0
524,7
525,7
526,7
527,0
528,7
529,7
530,2
531,0
532,5
533,9
534,8
535,9
536,5
537,6
538,5
539,2
540,7
541,0
542,8
543,8
544,7
545,0
546,7
547,0
548,3
549,4
550,1
551,4
552,7
553,0
554,5
555,0
556,0
557,3
558,5
559,6
560,2
561,0
562,4
563,3
564,7
565,6
566,5
567,4
568,1
569,7
570,3
571,6
572,5
573,3
574,5
575,0
576,2
577,9
578,2
579,6
580,2
581,5
582,4
583,2
584,6
585,8
586,7
587,3
588,7
589,8
590,0
591,8
592,8
593,4
594,5
595,4
596,4
597,2
598,6
599,0
600,9
601,9
602,1
603,8
604,1
605,4
606,2
607,8
608,5
609,6
610,8
611,8
612,2
613,9
614,7
615,2
616,2
617,3
618,0
619,0
620,8
621,9
622,5
623,3
624,2
625,0
626,8
627,9
628,5
629,5
630,2
631,6
632,7
633,8
634,2
635,7
636,8
637,8
638,3
639,8
640,7
641,0
642,8
643,3
644,6
645,5
646,2
647,6
648,8
649,1
650,8
651,8
652,8
653,0
654,7
655,4
656,2
657,8
658,9
659,7
660,3
661,2
662,4
663,8
664,0
665,2
666,2
667,7
668,3
669,5
670,6
671,3
672,3
673,2
674,3
675,3
676,3
677,3
678,2
679,6
680,0
681,6
682,8
683,9
684,9
685,4
686,3
687,2
688,6
689,8
690,3
691,8
692,6
693,0
694,7
695,8
696,2
697,9
698,3
699,8
700,8
701,2
702,0
703,5
704,0
705,6
706,5
707,5
708,8
709,6
710,5
711,1
712,8
713,7
714,5
715,8
716,6
717,2
718,9
719,7
720,8
721,5
722,0
723,7
724,0
725,1
726,6
727,6
728,8
729,8
730,5
731,5
732,7
733,9
734,2
735,8
736,2
737,7
738,5
739,7
740,9
741,6
742,2
743,4
744,3
745,7
746,8
747,0
748,7
749,8
750,6
751,6
752,8
753,5
754,1
755,1
756,1
757,3
758,1
759,7
760,8
761,2
762,0
763,2
764,0
765,8
766,0
767,0
768,9
769,7
770,8
771,6
772,5
773,0
774,7
775,5
776,3
777,2
778,6
779,9
780,4
781,7
782,6
783,8
784,8
785,3
786,5
787,9
788,8
789,8
790,8
791,9
792,0
793,8
794,0
795,8
796,3
797,7
798,6
799,8
800,0
801,1
802,1
803,3
804,7
805,1
806,8
807,3
808,6
809,5
810,1
811,5
812,8
813,2
814,9
815,2
816,6
817,0
818,3
819,3
820,2
821,7
822,0
823,5
824,0
825,7
826,8
827,0
828,8
829,5
830,3
831,7
832,3
833,5
834,8
835,7
836,8
837,6
838,1
839,5
840,3
841,4
842,8
843,0
844,8
845,2
846,9
847,3
848,2
849,4
850,5
851,8
852,3
853,7
854,2
855,6
856,4
857,7
858,9
859,8
860,9
861,0
862,5
863,7
864,6
865,2
866,9
867,4
868,8
869,2
870,3
871,2
872,5
873,3
874,2
875,7
876,3
877,1
878,1
879,0
880,1
881,3
882,9
883,1
884,1
885,2
886,7
887,7
888,5
889,8
890,8
891,1
892,8
893,6
894,0
895,8
896,2
897,3
898,6
899,1
900,7
901,5
902,7
903,5
904,3
905,5
906,7
907,8
908,7
909,2
910,7
911,2
912,0
913,2
914,8
915,9
916,6
917,8
918,6
919,7
920,4
921,2
922,4
923,0
924,3
925,3
926,2
927,8
928,6
929,6
930,3
931,3
932,2
933,1
934,2
935,5
936,0
937,7
938,3
939,3
940,9
941,6
942,0
943,6
944,7
945,0
946,3
947,3
948,2
949,3
950,4
951,6
952,3
953,5
954,2
955,9
956,4
957,8
958,9
959,6
960,2
961,2
962,8
963,8
964,0
965,0
966,5
967,7
968,8
969,8
970,9
971,3
972,2
973,8
974,6
975,1
976,0
977,8
978,0
979,3
980,2
981,5
982,8
983,3
984,8
985,7
986,8
987,0
988,5
989,4
990,2
991,1
992,8
993,0
994,6
995,9
996,9
997,6
998,2
999,4
1000,8
1001,0
1002,3
1003,0
1004,2
1005,1
1006,3
1007,2
1008,6
1009,7
1010,8
1011,2
1012,4
1013,7
1014,3
1015,9
1016,2
1017,2
1018,9
1019,8
1020,8
1021,5
1022,8
1023,8
1024,6
1025,2
1026,6
1027,1
1028,5
1029,5
1030,7
1031,8
1032,1
1033,8
1034,5
1035,8
1036,5
1037,3
1038,5
1039,0
1040,0
1041,7
1042,6
1043,7
1044,8
1045,2
1046,7
1047,2
1048,3
1049,6
1050,6
1051,4
1052,6
1053,7
1054,5
1055,8
1056,1
1057,7
1058,7
1059,6
1060,0
1061,0
1062,0
1063,6
1064,0
1065,5
1066,8
1067,5
1068,0
1069,7
1070,3
1071,8
1072,9
1073,8
1074,6
1075,8
1076,2
1077,6
1078,1
1079,2
1080,8
1081,3
1082,0
1083,2
1084,9
1085,3
1086,5
1087,6
1088,6
1089,9
1090,7
1091,9
1092,4
1093,0
1094,7
1095,3
1096,6
1097,5
1098,9
1099,3
1100,7
1101,3
1102,4
1103,3
1104,7
1105,8
1106,2
1107,6
1108,6
1109,8
1110,2
1111,3
1112,8
1113,3
1114,4
1115,0
1116,9
1117,2
1118,4
1119,2
1120,8
1121,4
1122,5
1123,4
1124,7
1125,6
1126,9
1127,8
1128,6
1129,4
1130,2
1131,0
1132,5
1133,8
1134,0
1135,9
1136,6
1137,8
1138,7
1139,2
1140,8
1141,6
1142,0
1143,4
1144,4
1145,2
1146,9
1147,3
1148,5
1149,5
1150,3
1151,4
1152,3
1153,8
1154,2
1155,3
1156,3
1157,8
1158,1
1159,8
1160,0
1161,8
1162,1
1163,0
1164,0
1165,6
1166,8
1167,1
1168,4
1169,3
1170,5
1171,4
1172,2
1173,1
1174,7
1175,8
1176,2
1177,2
1178,2
1179,6
1180,5
1181,9
1182,8
1183,5
1184,8
1185,0
1186,2
1187,0
1188,9
1189,7
1190,5
1191,5
1192,7
1193,3
1194,8
1195,8
1196,8
1197,9
1198,0
1199,5
1200,5
1201,2
1202,8
1203,7
1204,0
1205,1
1206,2
1207,8
1208,6
1209,3
1210,6
1211,4
1212,7
1213,8
1214,3
1215,5
1216,3
1217,5
1218,1
